,,,,,
,,,,,
20,サービスレベルが不明確,障害を発見したら開発コミュニティに報告を行なう,パッチが作成・公開され等、障害発生からコミュニティが対処を終了するまでにかかった時間等の過去事例を収集・提供する,非技術項目,
21,サービスレベルの低下,サービスを行なう各社それぞれが低下しない努力をする,各社のサービス状況を広報する,非技術項目,
22,"サポート体制に対する不安
→20・21に含まれる話 ",,,非技術項目,
23,障害解析情報が少ない,・statsinfoの利用,開発コミュニティに、故障解析の方法や・コードの体系化を提案する。,エラーメッセージに一意なIDを振る？,○
24,互換性保証がない,,概ね問題はないとバージョンアップ事例の公報等を行い、不安を払拭する。,非技術項目,
25,長期保証されない,,開発コミュニティ側のサポートポリシを広報し、事実を知ってもらう。,非技術項目,
26,リリーススケジュールが決まっていない,,過去の実績事例（リリースまでの期間等）を収集・公報する。,非技術項目,
27,推奨の監視対象が確立されていない,,"①監視ソフトウェアに対する標準の監視プラグインの提供（例：Zabbix）
②技術情報（運用の勘所）の提供",pg_monz登場,
28,バックアップ機能の不足,・pg_rmanの利用,,差分バックアップの提案がコミュニティにあり,○
29,スナップショット機能の不足,,,,
30,監査手法が確立されていない,"・PISOの利用
ログや統計情報を使用した定期的な監視方法の提示。",（ログに依存しない稼働情報手段の実装？）,変わりなし,
31,データ構造/データ定義の互換性情報不足,db-syntax-diff（NTTが作成したOSS、GitHub（https://github.com/db-syntax-diff/db_syntax_diff）で公開）を利用。 ,検証を行い、情報を公開する。,WG2にて情報公開済み,
32,データの互換性情報不足,db-syntax-diff（NTTが作成したOSS、GitHub（https://github.com/db-syntax-diff/db_syntax_diff）で公開）を利用。 ,,WG2にて情報公開済み,
33,SQLなどの互換性情報不足,db-syntax-diff（NTTが作成したOSS、GitHub（https://github.com/db-syntax-diff/db_syntax_diff）で公開）を利用。 ,,WG2にて情報公開済み,
34,ストアドプロシージャに対する移行ノウハウ不足,,公開が可能な範囲で、情報を公開する,WG2にて情報公開済み,
35,自動移行ツールがない,,,変わりなし,
36,移行コストが高い,"・商用DBMSとの差異情報の提供
・定義、データ、SQL文、互換関数についてはツールの提示。","・差異情報や各種移行ツール、互換関数に関する検証結果の蓄積と提示
・PL/pgSQLの変換に関する詳細な手順の提示。",WG2にて情報公開済み,
37,移行コストが見積もれない,案件ごとにサンプリングを行い、移行コストを計上。,（SSMAに類似したアセスメントツールの提供？）,変わりなし,
38,他ソフトウェアと連携できない,,各開発コミュニティに働きかける。,PGEConsとして働きかけはしていない,
39,他ソフトウェアと連携する為に追加開発が必要,,事例を広報する。,非技術項目,
40,組み合わせ（スタック）の不足,,事例を広報する。,非技術項目,
41,技術者が不足,,,非技術項目,
42,既存技術の転用ノウハウ不足,,,非技術項目,
43,技術者評価の仕組み不足,OSS-DB(LPIが実施している認定試験制度（http://www.oss-db.jp/））を利用する。,,非技術項目,
44,新規導入事例の不足,,事例を広報する。,非技術項目,
45,移行事例の不足,,事例を広報する。,非技術項目,
46,情報の精度にばらつき,※対処方法が無いので、検討から除外する,,非技術項目,
